Age,Attrition,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,EducationField,MaritalStatus,PerformanceRating
33,No,Research & Development,Laboratory Technician,5601,16,3,4,No,20,Technical Degree,Divorced,3
39,No,Sales,Sales Executive,4605,21,3,3,No,3,Human Resources,Married,3
43,No,Research & Development,Laboratory Technician,6860,10,1,3,Yes,7,Other,Divorced,3
29,No,Research & Development,Laboratory Technician,4185,1,4,3,Yes,1,Technical Degree,Divorced,3
42,Yes,Sales,Manager,7602,0,1,4,No,4,Human Resources,Married,3
30,No,Human Resources,Human Resources,4417,10,3,3,No,1,Life Sciences,Married,3
30,No,Sales,Sales Executive,4797,0,1,3,No,7,Medical,Divorced,4
43,Yes,Research & Development,Laboratory Technician,4021,1,4,1,No,1,Other,Divorced,4
41,No,Research & Development,Research Scientist,5050,5,3,3,No,8,Life Sciences,Married,3
56,No,Human Resources,Human Resources,3280,2,2,3,No,7,Marketing,Divorced,3
19,Yes,Human Resources,Manager,5891,11,3,2,No,15,Medical,Divorced,4
25,No,Research & Development,Research Director,12280,18,4,1,Yes,4,Medical,Married,3
39,Yes,Human Resources,Manager,2839,3,4,4,No,5,Life Sciences,Divorced,3
37,No,Sales,Sales Representative,5031,10,4,4,Yes,5,Technical Degree,Married,3
24,No,Human Resources,Human Resources,6423,7,3,3,Yes,10,Other,Single,3
47,No,Research & Development,Research Scientist,5083,5,3,4,No,1,Marketing,Single,3
50,Yes,Research & Development,Laboratory Technician,7622,1,1,1,No,8,Human Resources,Married,3
34,No,Research & Development,Laboratory Technician,7035,5,4,3,No,17,Marketing,Married,4
36,No,Sales,Sales Executive,7318,2,3,4,No,3,Life Sciences,Married,3
40,Yes,Sales,Manager,3071,1,2,4,No,9,Other,Divorced,3
29,No,Sales,Sales Executive,3716,0,1,3,Yes,4,Medical,Single,3
30,No,Research & Development,Manufacturing Director,5469,14,4,1,Yes,14,Medical,Married,3
32,Yes,Sales,Sales Executive,2659,4,3,3,No,12,Life Sciences,Married,3
42,No,Sales,Sales Representative,5742,5,3,2,No,6,Technical Degree,Married,3
35,No,Sales,Sales Representative,4798,2,2,2,Yes,19,Other,Divorced,3
36,Yes,Research & Development,Manufacturing Director,10300,0,3,3,No,5,Marketing,Single,3
49,No,Sales,Sales Executive,2553,5,3,4,No,2,Human Resources,Single,3
31,Yes,Sales,Manager,3852,1,2,2,No,1,Life Sciences,Divorced,3
40,No,Research & Development,Manufacturing Director,4710,14,4,2,Yes,9,Human Resources,Single,4
21,No,Research & Development,Research Scientist,6448,10,2,2,No,6,Life Sciences,Single,3
23,No,Sales,Sales Executive,7323,6,2,3,No,1,Other,Single,3
46,Yes,Sales,Sales Representative,3683,2,3,4,No,5,Human Resources,Single,3
38,No,Research & Development,Research Director,5139,1,1,3,No,16,Human Resources,Single,3
32,No,Research & Development,Manufacturing Director,3958,1,4,3,No,4,Human Resources,Divorced,4
34,No,Research & Development,Healthcare Representative,9419,3,3,2,No,6,Medical,Divorced,3
44,Yes,Research & Development,Healthcare Representative,1626,16,3,2,No,8,Technical Degree,Single,3
41,No,Sales,Manager,9169,5,4,4,Yes,3,Technical Degree,Married,3
37,Yes,Research & Development,Research Scientist,3870,10,4,2,No,1,Human Resources,Divorced,3
48,Yes,Sales,Sales Executive,3935,1,2,3,No,9,Medical,Divorced,3
30,Yes,Research & Development,Healthcare Representative,2637,1,4,3,No,5,Marketing,Single,4
38,No,Sales,Sales Executive,18430,6,1,4,No,7,Medical,Married,3
29,No,Human Resources,Manager,6221,6,3,3,No,24,Other,Divorced,4
59,No,Research & Development,Research Scientist,6386,3,1,2,No,1,Human Resources,Married,3
44,No,Research & Development,Research Scientist,5098,2,2,3,No,2,Medical,Married,3
36,No,Sales,Sales Executive,2541,3,4,3,No,9,Other,Divorced,3
34,Yes,Research & Development,Laboratory Technician,2826,0,4,3,No,1,Human Resources,Single,3
35,Yes,Sales,Manager,5310,1,1,3,No,1,Other,Divorced,3
18,No,Research & Development,Healthcare Representative,8482,3,3,2,Yes,17,Marketing,Single,4
44,No,Research & Development,Research Scientist,2531,3,1,2,No,9,Marketing,Single,3
43,Yes,Sales,Sales Executive,2794,0,1,4,Yes,9,Medical,Divorced,3
44,Yes,Sales,Sales Representative,3071,13,4,3,No,2,Technical Degree,Divorced,3
39,No,Research & Development,Manufacturing Director,2629,3,4,4,No,2,Life Sciences,Single,3
43,No,Research & Development,Laboratory Technician,2424,3,3,3,No,26,Marketing,Divorced,3
36,Yes,Sales,Manager,8532,15,4,3,Yes,2,Medical,Single,3
31,No,Research & Development,Healthcare Representative,3987,12,4,3,Yes,2,Life Sciences,Married,3
38,No,Human Resources,Human Resources,3013,2,3,3,No,2,Other,Single,3
51,No,Sales,Sales Representative,10777,7,2,4,No,4,Technical Degree,Divorced,3
41,Yes,Sales,Manager,3419,0,3,2,No,3,Medical,Single,3
42,No,Research & Development,Laboratory Technician,2045,4,3,4,No,2,Life Sciences,Single,3
31,No,Sales,Manager,5223,4,3,2,No,1,Technical Degree,Divorced,3
54,No,Research & Development,Laboratory Technician,4799,3,2,4,No,10,Other,Single,3
30,No,Research & Development,Manufacturing Director,4342,17,1,4,No,1,Technical Degree,Single,3
44,No,Research & Development,Laboratory Technician,6696,7,3,4,Yes,6,Technical Degree,Married,3
40,No,Human Resources,Manager,5452,1,3,4,Yes,10,Medical,Single,3
47,No,Human Resources,Human Resources,4721,13,2,4,Yes,8,Technical Degree,Married,3
38,No,Sales,Sales Representative,3868,2,4,1,No,6,Marketing,Married,3
44,No,Research & Development,Research Director,5661,6,2,1,No,1,Human Resources,Married,4
32,Yes,Research & Development,Research Scientist,9943,4,3,4,No,13,Marketing,Single,3
29,No,Research & Development,Research Director,7308,0,3,2,No,2,Marketing,Single,3
36,No,Sales,Sales Executive,5525,3,3,2,No,13,Marketing,Divorced,3
57,No,Research & Development,Healthcare Representative,3526,1,4,2,No,9,Human Resources,Single,3
31,No,Research & Development,Manufacturing Director,3768,1,2,4,No,1,Medical,Married,4
33,No,Research & Development,Research Scientist,2733,9,3,2,No,2,Life Sciences,Divorced,3
50,No,Research & Development,Research Director,12063,0,4,2,Yes,19,Other,Divorced,4
41,No,Research & Development,Laboratory Technician,8449,5,1,3,No,2,Life Sciences,Divorced,3
32,No,Research & Development,Healthcare Representative,5496,13,3,3,No,15,Other,Single,3
22,No,Research & Development,Healthcare Representative,6193,14,4,3,No,18,Other,Married,3
46,No,Research & Development,Healthcare Representative,8818,6,4,2,No,18,Marketing,Divorced,3
33,Yes,Research & Development,Laboratory Technician,3239,9,2,4,No,6,Other,Married,3
38,No,Sales,Manager,5030,6,2,3,No,13,Medical,Divorced,3
41,Yes,Research & Development,Research Director,5034,2,3,4,Yes,24,Human Resources,Single,3
46,Yes,Sales,Sales Representative,2941,0,3,2,No,1,Technical Degree,Divorced,4
40,No,Human Resources,Manager,3778,0,1,2,No,13,Technical Degree,Divorced,3
23,Yes,Research & Development,Laboratory Technician,1636,1,4,3,Yes,1,Other,Single,3
34,No,Research & Development,Research Scientist,2769,20,3,3,No,2,Other,Divorced,4
34,Yes,Research & Development,Research Director,5860,1,1,3,No,17,Medical,Divorced,3
39,No,Human Resources,Manager,4380,10,4,4,No,8,Medical,Single,3
38,Yes,Sales,Sales Executive,7005,11,3,2,Yes,10,Technical Degree,Divorced,3
30,No,Sales,Sales Executive,4879,6,2,4,No,5,Other,Divorced,3
32,No,Sales,Sales Executive,1462,6,2,3,No,13,Technical Degree,Married,3
34,No,Research & Development,Manufacturing Director,4017,30,1,3,No,10,Other,Divorced,3
38,No,Sales,Sales Executive,1770,0,3,1,Yes,4,Life Sciences,Married,3
45,Yes,Research & Development,Laboratory Technician,6712,1,2,2,No,11,Other,Divorced,3
37,Yes,Human Resources,Manager,3556,8,4,3,No,3,Medical,Single,3
38,Yes,Sales,Sales Representative,7903,11,3,3,No,11,Technical Degree,Divorced,3
31,No,Sales,Manager,3858,14,2,4,No,1,Human Resources,Married,3
60,No,Research & Development,Manufacturing Director,4682,8,2,4,No,9,Other,Divorced,3
34,No,Research & Development,Manufacturing Director,2133,14,4,3,No,3,Human Resources,Married,3
22,No,Human Resources,Human Resources,13371,9,3,4,No,4,Technical Degree,Married,3
50,No,Research & Development,Healthcare Representative,9799,9,1,3,No,1,Other,Married,3
39,No,Human Resources,Manager,4248,4,2,4,No,6,Marketing,Married,3
33,No,Research & Development,Research Scientist,2807,24,2,3,No,13,Medical,Married,3
22,Yes,Human Resources,Manager,4288,0,2,3,No,15,Human Resources,Single,3
50,Yes,Sales,Sales Executive,7518,1,2,1,No,9,Technical Degree,Divorced,3
40,No,Research & Development,Laboratory Technician,9408,14,2,2,Yes,1,Life Sciences,Married,3
43,Yes,Human Resources,Manager,4720,2,3,1,Yes,38,Technical Degree,Married,4
38,No,Sales,Sales Executive,6162,14,3,3,No,9,Technical Degree,Married,3
46,No,Sales,Manager,2922,1,3,4,Yes,10,Life Sciences,Divorced,3
41,No,Research & Development,Manufacturing Director,3107,12,4,3,No,8,Marketing,Married,4
46,No,Research & Development,Manufacturing Director,8897,1,3,3,No,1,Technical Degree,Divorced,3
46,No,Human Resources,Human Resources,4332,10,3,3,No,4,Marketing,Married,3
42,Yes,Research & Development,Manufacturing Director,6978,11,3,4,Yes,7,Marketing,Divorced,3
25,No,Research & Development,Manufacturing Director,2160,8,3,3,Yes,4,Technical Degree,Single,3
51,No,Sales,Manager,8142,6,3,3,No,6,Technical Degree,Divorced,3
26,No,Sales,Manager,2283,3,3,3,No,13,Life Sciences,Divorced,3
43,Yes,Research & Development,Manufacturing Director,5656,1,4,1,No,3,Technical Degree,Single,3
29,Yes,Research & Development,Research Scientist,3004,2,4,3,No,8,Marketing,Single,3
28,Yes,Sales,Sales Representative,4392,1,3,2,No,11,Technical Degree,Married,3
49,No,Research & Development,Manufacturing Director,4733,5,1,3,No,8,Life Sciences,Married,3
30,No,Research & Development,Research Scientist,3528,6,3,4,No,3,Life Sciences,Married,3
44,No,Research & Development,Laboratory Technician,3713,3,3,1,No,5,Other,Single,3
42,No,Sales,Sales Executive,6044,1,1,1,No,8,Medical,Single,3
50,Yes,Sales,Manager,2116,4,4,2,No,4,Medical,Married,3
42,No,Research & Development,Research Scientist,11094,2,1,1,No,1,Medical,Married,3
31,Yes,Sales,Manager,4452,5,1,4,Yes,6,Marketing,Single,4
19,No,Research & Development,Research Director,5925,2,3,4,No,7,Other,Divorced,3
37,No,Research & Development,Research Scientist,3496,22,2,3,Yes,6,Medical,Married,3
30,No,Research & Development,Research Scientist,9118,7,4,4,Yes,4,Marketing,Divorced,3
37,No,Human Resources,Manager,7259,12,3,3,Yes,12,Other,Single,3
43,No,Research & Development,Research Scientist,7929,0,2,2,No,1,Other,Single,4
29,No,Research & Development,Research Scientist,2207,4,3,3,No,6,Marketing,Divorced,4
37,No,Research & Development,Research Director,4677,3,4,4,No,14,Human Resources,Single,3
26,No,Sales,Sales Representative,4119,8,2,4,No,15,Other,Married,3
36,No,Research & Development,Research Scientist,7397,6,4,2,No,4,Marketing,Single,3
41,No,Research & Development,Manufacturing Director,5049,3,2,3,No,1,Life Sciences,Married,3
50,No,Sales,Sales Representative,9039,1,1,4,No,1,Technical Degree,Divorced,4
31,Yes,Sales,Sales Executive,4001,0,2,2,No,1,Other,Divorced,3
40,No,Human Resources,Manager,8913,2,3,3,No,1,Human Resources,Married,4
32,No,Research & Development,Manufacturing Director,2736,3,4,3,No,1,Other,Divorced,3
32,Yes,Research & Development,Healthcare Representative,5978,5,2,1,Yes,33,Medical,Single,3
28,No,Human Resources,Manager,4839,5,3,4,Yes,6,Medical,Married,3
35,No,Research & Development,Research Director,11566,3,3,3,No,20,Technical Degree,Married,4
47,No,Research & Development,Research Scientist,2806,4,2,4,Yes,20,Marketing,Single,3
43,No,Research & Development,Manufacturing Director,5708,7,3,1,No,1,Marketing,Married,3
34,No,Research & Development,Healthcare Representative,5141,0,4,1,Yes,1,Other,Married,4
24,Yes,Research & Development,Research Director,3023,3,4,3,Yes,1,Medical,Single,3
29,No,Research & Development,Laboratory Technician,7629,0,1,4,No,13,Technical Degree,Divorced,3
34,No,Research & Development,Laboratory Technician,4335,6,4,3,No,1,Other,Divorced,4
50,No,Research & Development,Manufacturing Director,12083,9,4,3,Yes,3,Life Sciences,Single,4
27,Yes,Sales,Sales Representative,1838,4,3,4,Yes,1,Other,Single,3
24,No,Research & Development,Healthcare Representative,7758,11,4,4,No,2,Marketing,Married,3
41,No,Research & Development,Research Director,7097,10,3,2,No,37,Technical Degree,Divorced,4
36,No,Sales,Manager,4708,9,4,2,No,16,Other,Married,3
39,No,Research & Development,Healthcare Representative,18048,2,3,3,No,9,Medical,Single,3
34,Yes,Sales,Manager,4866,1,4,4,Yes,4,Life Sciences,Divorced,3
52,No,Sales,Manager,5986,6,2,3,No,7,Other,Single,3
23,Yes,Research & Development,Laboratory Technician,2826,1,2,4,No,4,Technical Degree,Married,3
39,No,Research & Development,Research Director,7834,3,3,3,Yes,8,Human Resources,Divorced,3
38,No,Research & Development,Healthcare Representative,3236,4,3,1,No,7,Medical,Married,3
46,Yes,Research & Development,Laboratory Technician,6609,2,4,3,Yes,1,Marketing,Single,3
45,Yes,Research & Development,Research Director,6912,5,3,2,No,5,Life Sciences,Single,3
50,No,Sales,Manager,6737,40,4,3,No,9,Medical,Divorced,3
47,Yes,Sales,Sales Representative,4221,3,3,3,Yes,4,Life Sciences,Divorced,3
38,No,Sales,Sales Representative,2029,2,4,2,No,18,Technical Degree,Married,3
35,No,Sales,Sales Executive,9850,4,1,1,No,6,Marketing,Married,3
31,No,Research & Development,Research Scientist,6212,6,1,4,No,28,Technical Degree,Married,3
28,Yes,Sales,Sales Executive,3145,1,4,2,Yes,12,Other,Single,3
36,Yes,Research & Development,Laboratory Technician,3382,0,1,4,Yes,6,Human Resources,Married,3
39,No,Research & Development,Research Scientist,5134,5,4,1,No,2,Life Sciences,Divorced,3
44,No,Human Resources,Manager,2625,1,3,3,No,8,Human Resources,Single,3
33,No,Sales,Manager,3748,2,4,3,No,1,Technical Degree,Married,4
38,No,Research & Development,Research Director,4090,5,1,3,No,1,Marketing,Divorced,4
32,Yes,Research & Development,Research Director,13426,3,3,3,Yes,6,Other,Single,3
31,No,Research & Development,Laboratory Technician,3295,1,2,4,No,2,Marketing,Divorced,4
33,Yes,Research & Development,Research Scientist,6346,4,4,4,Yes,1,Medical,Divorced,3
35,Yes,Human Resources,Human Resources,20000,0,3,4,No,13,Technical Degree,Married,4
20,No,Sales,Manager,5433,11,3,3,No,4,Marketing,Single,4
41,No,Research & Development,Laboratory Technician,3218,11,2,4,No,2,Marketing,Divorced,4
32,Yes,Sales,Sales Representative,3797,15,3,2,No,8,Medical,Married,3
37,No,Research & Development,Research Director,9957,23,3,4,No,9,Medical,Married,3
26,No,Research & Development,Research Scientist,4325,0,3,3,No,19,Other,Single,3
40,No,Research & Development,Healthcare Representative,4239,11,3,3,No,5,Life Sciences,Single,3
36,No,Research & Development,Laboratory Technician,1603,12,2,2,No,15,Human Resources,Divorced,3
33,No,Sales,Manager,3098,4,4,3,No,3,Technical Degree,Single,3
37,No,Research & Development,Manufacturing Director,5259,0,3,2,No,1,Other,Married,3
42,No,Research & Development,Healthcare Representative,3875,2,3,3,No,3,Technical Degree,Married,3
46,No,Sales,Sales Executive,2544,19,4,4,No,9,Technical Degree,Divorced,3
43,No,Human Resources,Manager,12707,0,3,3,No,7,Life Sciences,Single,3
35,No,Human Resources,Human Resources,3067,0,4,4,No,17,Human Resources,Divorced,3
43,No,Human Resources,Human Resources,6685,0,4,3,No,15,Other,Married,3
40,Yes,Research & Development,Research Director,3558,5,1,2,Yes,5,Medical,Married,3
27,No,Research & Development,Research Director,2881,9,1,4,No,9,Marketing,Single,3
43,No,Research & Development,Research Director,3552,0,3,4,No,6,Technical Degree,Single,3
28,No,Research & Development,Manufacturing Director,5536,0,4,3,No,19,Marketing,Married,3
20,No,Research & Development,Research Scientist,3484,3,4,3,No,5,Marketing,Married,3
51,Yes,Research & Development,Manufacturing Director,7122,1,3,2,No,6,Technical Degree,Divorced,3
50,No,Human Resources,Human Resources,6671,4,3,1,Yes,4,Marketing,Married,3
33,Yes,Sales,Sales Representative,3476,24,2,3,Yes,8,Technical Degree,Divorced,3
35,No,Sales,Sales Executive,4931,0,2,1,Yes,3,Human Resources,Married,3
20,Yes,Research & Development,Manufacturing Director,5205,18,3,1,No,1,Human Resources,Married,3
36,No,Research & Development,Research Director,8417,8,4,2,Yes,4,Other,Married,3
39,Yes,Research & Development,Research Scientist,6338,6,2,4,No,15,Human Resources,Single,3
38,No,Research & Development,Healthcare Representative,3614,8,1,3,No,4,Other,Married,3
35,Yes,Research & Development,Research Scientist,5107,0,3,4,No,10,Other,Divorced,3
38,No,Research & Development,Laboratory Technician,7182,14,4,2,No,1,Marketing,Divorced,3
36,No,Sales,Sales Executive,4429,2,3,3,Yes,1,Life Sciences,Single,3
44,No,Research & Development,Research Scientist,9354,13,3,3,No,2,Life Sciences,Divorced,3
49,No,Research & Development,Laboratory Technician,4337,12,4,4,No,3,Other,Married,3
51,No,Research & Development,Research Director,7257,8,3,2,No,1,Technical Degree,Married,4
48,Yes,Research & Development,Manufacturing Director,9875,2,1,3,No,10,Human Resources,Single,3
54,Yes,Research & Development,Manufacturing Director,3900,1,3,1,No,29,Human Resources,Divorced,3
36,No,Sales,Manager,4084,1,1,4,No,3,Life Sciences,Married,4
36,No,Sales,Sales Representative,5510,15,3,4,No,3,Human Resources,Married,4
22,Yes,Research & Development,Research Scientist,2797,5,2,3,No,12,Marketing,Divorced,3
27,No,Research & Development,Research Director,3175,1,1,2,Yes,30,Technical Degree,Single,3
27,No,Research & Development,Manufacturing Director,5539,4,3,3,No,45,Marketing,Married,4
54,No,Research & Development,Research Director,8635,1,3,1,No,7,Technical Degree,Married,3
39,No,Human Resources,Manager,6209,5,4,2,No,1,Other,Single,3
35,No,Sales,Manager,2734,27,3,4,No,4,Technical Degree,Single,3
31,No,Sales,Sales Representative,9771,5,3,3,No,35,Other,Married,3
40,No,Research & Development,Manufacturing Director,10362,21,2,2,No,5,Other,Single,3
42,No,Research & Development,Manufacturing Director,1129,6,4,1,No,10,Medical,Divorced,3
33,Yes,Research & Development,Research Director,3382,3,4,2,Yes,28,Life Sciences,Married,3
45,No,Human Resources,Human Resources,6352,2,1,3,No,12,Technical Degree,Single,3
43,No,Research & Development,Laboratory Technician,8877,10,4,3,Yes,6,Other,Single,3
30,No,Research & Development,Research Scientist,4572,3,1,4,No,1,Marketing,Married,4
32,No,Research & Development,Research Director,4404,4,4,3,Yes,1,Other,Single,3
30,No,Sales,Sales Representative,3071,11,4,3,No,3,Human Resources,Married,3
37,No,Sales,Sales Representative,4971,6,3,3,Yes,19,Technical Degree,Divorced,3
53,No,Research & Development,Research Scientist,9131,0,3,2,No,15,Medical,Divorced,3
26,No,Research & Development,Healthcare Representative,5077,10,2,3,No,1,Other,Single,3
29,No,Sales,Sales Representative,8608,0,3,1,Yes,11,Other,Divorced,3
29,No,Research & Development,Research Scientist,8628,0,3,2,No,3,Other,Married,3
44,Yes,Research & Development,Research Scientist,4588,3,4,1,No,6,Life Sciences,Married,3
41,No,Research & Development,Healthcare Representative,3267,7,4,4,No,10,Medical,Single,3
42,No,Sales,Manager,8972,0,3,4,No,5,Other,Single,3
24,Yes,Sales,Sales Executive,2420,0,4,3,No,17,Human Resources,Married,3
46,No,Research & Development,Research Director,4732,1,3,3,No,1,Technical Degree,Divorced,3
46,Yes,Research & Development,Laboratory Technician,2479,3,4,2,No,3,Other,Married,3
37,Yes,Sales,Sales Representative,2977,2,4,1,No,3,Life Sciences,Married,3
35,No,Sales,Sales Representative,1313,3,3,3,Yes,5,Medical,Single,4
26,No,Research & Development,Manufacturing Director,8579,10,4,3,No,1,Human Resources,Married,3
34,No,Research & Development,Manufacturing Director,5410,2,1,2,No,6,Technical Degree,Married,3
38,No,Research & Development,Laboratory Technician,5041,13,1,4,No,13,Technical Degree,Single,3
33,No,Research & Development,Laboratory Technician,4492,1,2,3,No,5,Marketing,Divorced,3
37,No,Human Resources,Manager,5515,23,1,3,Yes,1,Marketing,Single,3
40,No,Research & Development,Manufacturing Director,9961,1,4,3,No,10,Human Resources,Divorced,3
34,No,Research & Development,Research Scientist,6205,4,4,3,Yes,1,Other,Married,3
27,No,Research & Development,Healthcare Representative,4546,22,3,2,No,10,Medical,Divorced,3
35,Yes,Sales,Sales Representative,9763,5,3,1,Yes,5,Medical,Divorced,3
41,No,Sales,Sales Representative,5916,1,4,2,No,47,Other,Divorced,3
22,No,Human Resources,Human Resources,6192,4,3,1,No,35,Other,Divorced,3
37,No,Research & Development,Research Scientist,6542,26,4,2,No,11,Technical Degree,Single,3
28,No,Research & Development,Research Director,6224,5,4,3,Yes,1,Medical,Single,3
42,Yes,Human Resources,Manager,2605,1,2,4,No,1,Technical Degree,Single,3
55,Yes,Sales,Sales Executive,4343,0,2,3,No,44,Human Resources,Married,3
24,No,Research & Development,Research Director,2204,9,4,4,No,3,Marketing,Single,3
19,No,Sales,Sales Representative,7679,7,2,2,No,1,Technical Degree,Married,3
38,No,Sales,Manager,4470,2,4,3,No,7,Life Sciences,Married,3
28,Yes,Research & Development,Research Scientist,2527,15,4,4,No,13,Medical,Divorced,3
40,No,Research & Development,Manufacturing Director,2533,1,2,4,Yes,1,Human Resources,Married,3
18,No,Human Resources,Human Resources,5428,11,4,2,No,13,Life Sciences,Married,3
37,Yes,Sales,Manager,8318,2,3,1,Yes,13,Marketing,Divorced,3
30,No,Research & Development,Healthcare Representative,4999,25,2,2,No,2,Other,Married,3
47,No,Research & Development,Research Scientist,7407,13,3,2,No,11,Technical Degree,Single,3
44,No,Sales,Manager,4333,11,4,4,No,8,Human Resources,Married,3
53,Yes,Sales,Manager,5952,1,4,3,No,1,Life Sciences,Divorced,3
46,No,Research & Development,Manufacturing Director,2983,9,1,3,No,4,Marketing,Divorced,4
46,Yes,Research & Development,Manufacturing Director,8085,4,4,3,No,17,Life Sciences,Single,3
31,No,Research & Development,Healthcare Representative,2835,2,4,4,No,11,Life Sciences,Single,3
18,No,Human Resources,Human Resources,4734,1,4,3,No,1,Medical,Married,3
23,No,Sales,Sales Representative,4111,8,4,3,No,1,Other,Divorced,3
34,No,Research & Development,Research Director,5622,11,3,3,Yes,18,Other,Divorced,3
43,No,Research & Development,Laboratory Technician,4039,7,4,2,No,7,Other,Single,3
37,No,Human Resources,Manager,3569,2,2,3,No,3,Marketing,Single,3
32,Yes,Research & Development,Healthcare Representative,2092,8,2,1,No,26,Technical Degree,Single,3
26,Yes,Research & Development,Healthcare Representative,6377,3,4,2,Yes,2,Other,Married,3
37,Yes,Human Resources,Manager,3363,1,4,2,No,12,Marketing,Single,3
27,No,Research & Development,Research Scientist,2141,2,2,3,Yes,3,Technical Degree,Single,3
30,No,Human Resources,Human Resources,5369,0,4,2,Yes,8,Human Resources,Single,3
47,No,Research & Development,Research Scientist,8158,6,2,2,No,18,Medical,Single,4
41,Yes,Sales,Manager,5827,1,3,3,No,4,Human Resources,Single,3
34,Yes,Research & Development,Research Director,2182,22,3,4,Yes,10,Medical,Married,4
36,No,Sales,Sales Executive,4504,0,4,4,No,2,Human Resources,Single,3
37,No,Research & Development,Healthcare Representative,4706,6,3,2,No,1,Medical,Single,3
29,Yes,Research & Development,Research Director,3479,2,2,1,No,11,Medical,Single,3
40,Yes,Research & Development,Research Scientist,6162,12,4,3,Yes,8,Marketing,Single,3
30,No,Research & Development,Research Director,5008,3,4,3,No,2,Medical,Married,3
46,Yes,Research & Development,Research Scientist,6772,4,3,2,No,5,Technical Degree,Divorced,3
32,No,Research & Development,Research Scientist,7553,4,1,2,No,1,Technical Degree,Married,3
39,No,Human Resources,Manager,4072,3,3,2,Yes,1,Life Sciences,Married,3
44,Yes,Sales,Manager,5825,11,3,2,No,3,Human Resources,Single,3
18,No,Research & Development,Research Director,6415,3,4,4,No,22,Other,Single,4
